Time, Error [mm]
29.5312, 0.000833037
29.5314, 0.000833037
29.5316, 0.000833037
29.5322, 0.000833037
29.5423, 0.000691028
29.5426, 0.000691028
29.5682, 0.000691028
29.5684, 0.000691028
29.569, 0.000691028
29.5795, 0.000506969
29.5801, 0.000506969
29.6062, 0.000506969
29.6063, 0.000506969
29.6069, 0.000506969
29.6174, 0.000331493
29.6179, 0.000331493
29.6442, 0.000331493
29.6444, 0.000331493
29.645, 0.000331493
29.6552, 0.000186802
29.6554, 0.000186802
38.6654, -0.00291891
38.6656, -0.00291891
38.6661, -0.00291891
38.6762, -0.00305944
38.6771, -0.00305944
38.7054, -0.00305944
38.7057, -0.00305944
38.7061, -0.00305944
38.7159, -0.00319304
38.7167, -0.00319304
38.7444, -0.00319304
38.7447, -0.00319304
38.7448, -0.00319304
38.7456, -0.00319304
38.7561, -0.00339531
38.7568, -0.00339531
38.7833, -0.00339531
38.7835, -0.00339531
38.7843, -0.00339531
38.7939, -0.00355627
38.7946, -0.00355627
38.8234, -0.00355627
38.8236, -0.00355627
38.8241, -0.00355627
38.8341, -0.00370736
38.8348, -0.00370736
48.52, -0.0388527
48.5202, -0.0388527
48.5207, -0.0388527
48.5298, -1.92821e-05
48.5301, -1.92821e-05
48.554, -1.92821e-05
48.5542, -1.92821e-05
48.5545, -1.92821e-05
48.555, -1.92821e-05
48.5643, -0.000136115
48.5646, -0.000136115
48.5911, -0.000136115
48.5914, -0.000136115
48.5921, -0.000136115
48.6015, -0.000219293
48.6018, -0.000219293
48.6279, -0.000219293
48.6281, -0.000219293
48.6287, -0.000219293
48.6375, -0.000280119
48.6382, -0.000280119
48.664, -0.000280119
48.6642, -0.000280119
48.6648, -0.000280119
48.675, -0.000388332
48.6754, -0.000388332
55.6516, -0.00379738
55.6521, -0.00379738
55.6799, -0.00379738
55.6801, -0.00379738
55.6807, -0.00379738
55.6905, -0.00401798
55.6908, -0.00401798
55.7167, -0.00401798
55.7171, -0.00401798
55.7179, -0.00401798
55.727, -0.00425211
55.7284, -0.00425211
55.7537, -0.00425211
55.7539, -0.00425211
55.7546, -0.00425211
55.7636, -0.00451053
55.7642, -0.00451053
55.79, -0.00451053
55.7902, -0.00451053
55.7909, -0.00451053
55.7998, -0.00470669
55.8006, -0.00470669
55.829, -0.00470669
55.8292, -0.00470669
55.8299, -0.00470669
55.8395, -0.00490756
55.8403, -0.00490756
