Time, Error [mm]
34.3025, -0.00544773
34.3029, -0.00544773
34.3044, -0.00544773
34.3045, -0.00544773
34.305, -0.00544773
34.3136, -0.00544994
34.3139, -0.00544994
34.3154, -0.00544994
34.3156, -0.00544994
34.3164, -0.00544994
34.3257, -0.00548323
34.3259, -0.00548323
34.3274, -0.00548323
34.3276, -0.00548323
34.328, -0.00548323
34.3376, -0.00552185
34.3379, -0.00552185
34.3394, -0.00552185
34.3396, -0.00552185
34.3403, -0.00552185
34.3505, -0.00556614
34.3508, -0.00556614
34.3524, -0.00556614
34.3526, -0.00556614
34.3531, -0.00556614
34.3623, -0.00559928
34.3626, -0.00559928
34.3646, -0.00559928
34.3647, -0.00559928
34.3652, -0.00559928
34.3743, -0.00562622
34.3747, -0.00562622
34.3765, -0.00562622
34.3768, -0.00562622
34.3774, -0.00562622
34.3867, -0.00564913
34.3871, -0.00564913
34.3884, -0.00564913
34.3886, -0.00564913
34.389, -0.00564913
34.3982, -0.00566857
34.3985, -0.00566857
34.4004, -0.00566857
34.4006, -0.00566857
34.4011, -0.00566857
34.4098, -0.00571798
34.4101, -0.00571798
34.4116, -0.00571798
34.4117, -0.00571798
34.4122, -0.00571798
34.4219, -0.00580387
34.4222, -0.00580387
34.4237, -0.00580387
34.4241, -0.00580387
34.4242, -0.00580387
34.4247, -0.00580387
34.434, -0.00594468
34.4344, -0.00594468
34.4366, -0.00594468
34.4367, -0.00594468
34.4371, -0.00594468
34.446, -0.00608186
34.4463, -0.00608186
52.4339, -0.00144911
52.4342, -0.00144911
52.4355, -0.00144911
52.4356, -0.00144911
52.4361, -0.00144911
52.4433, -0.00144708
52.4436, -0.00144708
52.4455, -0.00144708
52.4456, -0.00144708
52.4461, -0.00144708
52.4543, -0.00145745
52.4546, -0.00145745
52.4565, -0.00145745
52.4567, -0.00145745
52.4572, -0.00145745
52.4665, -0.00147948
52.4668, -0.00147948
52.4685, -0.00147948
52.4687, -0.00147948
52.4691, -0.00147948
52.4772, -0.00150925
52.4777, -0.00150925
52.4795, -0.00150925
52.4797, -0.00150925
52.4802, -0.00150925
52.4889, -0.00154573
52.4892, -0.00154573
52.4905, -0.00154573
52.4907, -0.00154573
52.4911, -0.00154573
52.4995, -0.00157592
52.4999, -0.00157592
52.5015, -0.00157592
52.5017, -0.00157592
52.5022, -0.00157592
52.5107, -0.0016121
52.5111, -0.0016121
52.5126, -0.0016121
52.5128, -0.0016121
52.5129, -0.0016121
52.5134, -0.0016121
52.5217, -0.00164183
52.5221, -0.00164183
52.5236, -0.00164183
52.5237, -0.00164183
52.5242, -0.00164183
52.5333, -0.00166812
52.5336, -0.00166812
52.5355, -0.00166812
52.5357, -0.00166812
52.5362, -0.00166812
52.5449, -0.00170373
52.5452, -0.00170373
52.5466, -0.00170373
52.5467, -0.00170373
52.5473, -0.00170373
52.5561, -0.0017324
52.5565, -0.0017324
52.5586, -0.0017324
52.5588, -0.0017324
52.5593, -0.0017324
52.5677, -0.00175696
52.5681, -0.00175696
52.5697, -0.00175696
52.57, -0.00175696
52.5705, -0.00175696
52.5786, -0.00177767
52.5789, -0.00177767
52.5807, -0.00177767
52.5808, -0.00177767
52.5813, -0.00177767
52.5894, -0.00179433
52.5898, -0.00179433
52.5916, -0.00179433
52.592, -0.00179433
52.5924, -0.00179433
52.6006, -0.0018202
52.601, -0.0018202
52.6027, -0.0018202
52.6028, -0.0018202
52.6033, -0.0018202
66.215, -0.00556187
66.2154, -0.00556187
66.2169, -0.00556187
66.217, -0.00556187
66.2175, -0.00556187
66.225, -0.00556363
66.2256, -0.00556363
66.2269, -0.00556363
66.227, -0.00556363
66.2276, -0.00556363
66.2352, -0.00556172
66.2356, -0.00556172
66.2369, -0.00556172
66.237, -0.00556172
66.2375, -0.00556172
66.2446, -0.0055456
66.245, -0.0055456
66.2469, -0.0055456
66.2471, -0.0055456
66.2477, -0.0055456
66.2544, -0.00554468
66.2547, -0.00554468
66.2569, -0.00554468
66.2571, -0.00554468
66.2575, -0.00554468
66.2649, -0.00554218
66.2652, -0.00554218
66.2669, -0.00554218
66.2671, -0.00554218
66.2675, -0.00554218
66.2748, -0.00554995
66.2753, -0.00554995
66.277, -0.00554995
66.2771, -0.00554995
66.2776, -0.00554995
66.2854, -0.00555404
66.2858, -0.00555404
66.2879, -0.00555404
66.2881, -0.00555404
66.2885, -0.00555404
66.2967, -0.00555624
66.2971, -0.00555624
66.299, -0.00555624
66.2992, -0.00555624
66.2994, -0.00555624
66.2998, -0.00555624
66.3073, -0.00555753
66.3076, -0.00555753
66.309, -0.00555753
66.3092, -0.00555753
66.3096, -0.00555753
66.317, -0.00555804
66.3173, -0.00555804
66.3191, -0.00555804
66.3192, -0.00555804
66.3197, -0.00555804
66.3273, -0.00556194
66.3276, -0.00556194
66.329, -0.00556194
66.3291, -0.00556194
66.3296, -0.00556194
66.3375, -0.00557528
66.338, -0.00557528
66.3401, -0.00557528
66.3402, -0.00557528
66.3407, -0.00557528
66.349, -0.00558434
66.3493, -0.00558434
66.351, -0.00558434
66.3511, -0.00558434
66.3515, -0.00558434
66.36, -0.00560214
66.3603, -0.00560214
66.362, -0.00560214
66.3621, -0.00560214
66.3626, -0.00560214
66.3705, -0.00561531
66.3708, -0.00561531
66.372, -0.00561531
66.3722, -0.00561531
66.3726, -0.00561531
66.3811, -0.00563551
