Time, Error [mm]
40.2378, -0.00291502
40.2385, -0.00291502
40.265, -0.00291502
40.2652, -0.00291502
40.2657, -0.00291502
40.2781, -0.00296583
40.2788, -0.00296583
40.3056, -0.00296583
40.3058, -0.00296583
40.3063, -0.00296583
40.3188, -0.00301349
40.3197, -0.00301349
59.9552, -0.00275815
59.9633, -0.00290599
59.964, -0.00290599
59.9902, -0.00290599
59.9903, -0.00290599
59.991, -0.00290599
59.9996, -0.00304316
60.0004, -0.00304316
60.0262, -0.00304316
60.0264, -0.00304316
60.027, -0.00304316
60.0365, -0.00318236
60.0372, -0.00318236
60.0632, -0.00318236
60.0634, -0.00318236
60.0638, -0.00318236
