Time, F.x, F.y, F.z, Key
32.448, 0, -0, 0, X
32.4482, 0, -0, 0, X
32.4739, 0, -0, 0, X
32.4741, 0, -0, 0, X
32.4746, 0, -0, 0, X
32.4853, 0, -0, 0, X
32.4858, 0, -0, 0, X
32.5119, 0, -0, 0, X
32.5121, 0, -0, 0, X
32.5126, 0, -0, 0, X
32.5239, 0, -0, 0, X
32.5245, 0, -0, 0, X
32.5506, 0, -0, 0, X
32.5508, 0, -0, 0, X
32.5513, 0, -0, 0, X
32.5628, 0, -0, 0, X
32.5634, 0, -0, 0, X
32.5886, 0, -0, 0, X
32.5888, 0, -0, 0, X
32.5895, 0, -0, 0, X
32.6026, 0, -0, 0, X
32.6029, 0, -0, 0, X
32.6287, 0, -0, 0, X
32.6288, 0, -0, 0, X
32.6292, 0, -0, 0, X
32.6401, 0, -0, 0, X
32.6407, 0, -0, 0, X
32.6668, 0, -0, 0, X
32.667, 0, -0, 0, X
32.6675, 0, -0, 0, X
32.6782, 0, -0, 0, X
32.6788, 0, -0, 0, X
32.7055, 0, -0, 0, X
32.7059, 0, -0, 0, X
32.7065, 0, -0, 0, X
32.7067, 0, -0, 0, X
32.7074, 0, -0, 0, X
32.7181, 0, -0, 0, X
32.7187, 0, -0, 0, X
32.7447, 0, -0, 0, X
32.7449, 0, -0, 0, X
32.7455, 0, -0, 0, X
32.7567, 0, -0, 0, X
32.7573, 0, -0, 0, X
32.7818, 0, -0, 0, X
32.782, 0, -0, 0, X
32.7826, 0, -0, 0, X
32.7932, 0, -0, 0, X
32.7938, 0, -0, 0, X
32.8181, 0, -0, 0, X
32.8183, 0, -0, 0, X
32.8189, 0, -0, 0, X
32.8307, 0, -0, 0, X
32.8317, 0, -0, 0, X
32.8568, 0, -0, 0, A
32.857, 0, -0, 0, A
32.8577, 0, -0, 0, A
32.8679, 0, -0, 0, A
32.8685, 0, -0, 0, A
32.8935, 0, -0, 0, A
32.8938, 0, -0, 0, A
32.8944, 0, -0, 0, A
32.9069, 0, -0, 0, A
32.9075, 0, -0, 0, A
32.9368, 0, -0, 0, A
32.937, 0, -0, 0, A
32.9377, 0, -0, 0, A
32.9485, 0, -0, 0, X
32.9491, 0, -0, 0, X
32.9749, 0, -0, 0, X
32.9751, 0, -0, 0, X
32.9756, 0, -0, 0, X
32.986, 0, -0, 0, X
32.9866, 0, -0, 0, X
33.013, 0, -0, 0, X
33.0134, 0, -0, 0, X
