Time, Error [mm]
32.8568, 0.00253094
32.857, 0.00253094
32.8577, 0.00253094
32.8679, 0.00238876
32.8685, 0.00238876
32.8935, 0.00238876
32.8938, 0.00238876
32.8944, 0.00238876
32.9069, 0.00227325
32.9075, 0.00227325
32.9368, 0.00227325
32.937, 0.00227325
32.9377, 0.00227325
43.8458, -0.031779
43.8461, -0.031779
43.8722, -0.031779
43.8724, -0.031779
43.8729, -0.031779
43.8841, -0.0318072
43.8844, -0.0318072
43.9104, -0.0318072
43.9106, -0.0318072
43.9111, -0.0318072
55.0289, -0.0356068
55.0291, -0.0356068
55.0298, -0.0356068
55.0378, -0.0355757
55.0383, -0.0355757
55.064, -0.0355757
55.0642, -0.0355757
55.0647, -0.0355757
55.0727, -0.0355354
55.073, -0.0355354
55.099, -0.0355354
55.0992, -0.0355354
55.0997, -0.0355354
55.1077, -0.0355046
55.108, -0.0355046
64.3723, -0.0393162
64.3728, -0.0393162
64.3974, -0.0393162
64.3976, -0.0393162
64.3983, -0.0393162
64.4066, -0.0393832
64.4072, -0.0393832
64.433, -0.0393832
64.4336, -0.0393832
64.4338, -0.0393832
64.4346, -0.0393832
64.443, -0.0394327
64.4436, -0.0394327
64.4673, -0.0394327
64.4675, -0.0394327
64.4682, -0.0394327
64.4762, -0.0394692
64.4767, -0.0394692
64.5004, -0.0394692
64.5005, -0.0394692
64.5012, -0.0394692
64.5091, -0.0394948
64.5097, -0.0394948
