Time, Error [mm]
32.637, -0.000338272
32.6378, -0.000338272
32.6695, -0.000338272
32.6697, -0.000338272
32.6702, -0.000338272
32.6808, -0.000436616
32.6818, -0.000436616
32.7095, -0.000436616
32.7098, -0.000436616
32.7099, -0.000436616
32.7104, -0.000436616
32.7203, -0.000521877
32.7208, -0.000521877
32.7489, -0.000521877
32.7492, -0.000521877
32.7497, -0.000521877
32.7588, -0.000598347
32.7594, -0.000598347
46.1008, -0.00626376
46.1013, -0.00626376
46.1295, -0.00626376
46.1296, -0.00626376
46.1303, -0.00626376
46.1404, -0.00640516
46.1411, -0.00640516
46.1694, -0.00640516
46.1696, -0.00640516
46.1703, -0.00640516
46.1807, -0.00654031
46.1813, -0.00654031
46.208, -0.00654031
46.2087, -0.00654031
46.209, -0.00654031
46.2099, -0.00654031
46.2214, -0.00667623
46.2221, -0.00667623
46.2496, -0.00667623
46.2497, -0.00667623
46.2504, -0.00667623
46.2608, -0.00681016
46.2615, -0.00681016
55.0375, -0.00406974
55.0378, -0.00406974
55.0387, -0.00406974
55.0475, -0.00406098
55.0483, -0.00406098
55.0764, -0.00406098
55.0766, -0.00406098
55.0772, -0.00406098
55.086, -0.00406101
55.0867, -0.00406101
55.1146, -0.00406101
55.1148, -0.00406101
55.1151, -0.00406101
55.1157, -0.00406101
55.1254, -0.00405434
55.1256, -0.00405434
55.1535, -0.00405434
55.1537, -0.00405434
55.1544, -0.00405434
64.0154, -0.00359181
64.0157, -0.00359181
64.0162, -0.00359181
64.0244, -0.00375255
64.0252, -0.00375255
64.0534, -0.00375255
64.0536, -0.00375255
64.0544, -0.00375255
64.0644, -0.0038908
64.0648, -0.0038908
64.0932, -0.0038908
64.0934, -0.0038908
64.094, -0.0038908
64.1043, -0.00399758
64.1046, -0.00399758
64.1303, -0.00399758
64.1306, -0.00399758
64.1314, -0.00399758
64.1402, -0.00409733
64.1405, -0.00409733
64.1665, -0.00409733
64.1668, -0.00409733
64.1674, -0.00409733
64.1761, -0.00418605
64.1763, -0.00418605
