Time, Error [mm]
40.0784, -0.0036694
40.0796, -0.0036694
40.0806, -0.0036694
40.0909, -0.00371294
40.0919, -0.00371294
40.1205, -0.00371294
40.1213, -0.00371294
40.1225, -0.00371294
40.133, -0.00377225
40.1338, -0.00377225
40.1626, -0.00377225
40.1637, -0.00377225
40.1649, -0.00377225
40.1763, -0.0038292
40.1773, -0.0038292
40.2056, -0.0038292
40.2065, -0.0038292
40.2074, -0.0038292
40.2178, -0.00389977
40.2195, -0.00389977
51.1589, -0.0215168
51.1598, -0.0215168
51.1603, -0.0215168
51.1612, -0.0215168
51.1723, -0.0217002
51.1732, -0.0217002
51.2042, -0.0217002
51.2049, -0.0217002
51.2063, -0.0217002
51.2173, -0.0218812
51.2186, -0.0218812
51.2455, -0.0218812
51.2465, -0.0218812
51.2478, -0.0218812
51.2592, -0.0220714
51.26, -0.0220714
57.4813, -0.00442459
57.4823, -0.00442459
57.4836, -0.00442459
57.4939, -0.00452968
57.4947, -0.00452968
57.5212, -0.00452968
57.5222, -0.00452968
57.5234, -0.00452968
57.5341, -0.0046024
57.5351, -0.0046024
57.5633, -0.0046024
57.5641, -0.0046024
57.5655, -0.0046024
57.5755, -0.00464715
57.5764, -0.00464715
57.6042, -0.00464715
57.6049, -0.00464715
57.6059, -0.00464715
