Time, Error [mm]
42.2545, -0.00485211
42.255, -0.00485211
42.2565, -0.00485211
42.2567, -0.00485211
42.2571, -0.00485211
42.2671, -0.00481379
42.2676, -0.00481379
42.2694, -0.00481379
42.2696, -0.00481379
42.2701, -0.00481379
42.2793, -0.00477773
42.2797, -0.00477773
42.2814, -0.00477773
42.2816, -0.00477773
42.2821, -0.00477773
42.2925, -0.00474399
42.2929, -0.00474399
42.2945, -0.00474399
42.2948, -0.00474399
42.2952, -0.00474399
42.3049, -0.00471154
42.3052, -0.00471154
42.3075, -0.00471154
42.3077, -0.00471154
42.3082, -0.00471154
42.3171, -0.00468141
42.3175, -0.00468141
42.3195, -0.00468141
42.3197, -0.00468141
42.3201, -0.00468141
42.3291, -0.00465387
42.3294, -0.00465387
42.3314, -0.00465387
42.3317, -0.00465387
42.332, -0.00465387
42.3414, -0.00463826
42.3417, -0.00463826
42.3434, -0.00463826
42.3437, -0.00463826
42.3442, -0.00463826
42.3537, -0.00462192
42.354, -0.00462192
42.3556, -0.00462192
42.3558, -0.00462192
42.3559, -0.00462192
42.3564, -0.00462192
42.365, -0.00460583
42.3654, -0.00460583
42.3674, -0.00460583
42.3677, -0.00460583
42.3682, -0.00460583
42.3781, -0.00459093
42.3785, -0.00459093
42.3806, -0.00459093
42.3808, -0.00459093
42.3812, -0.00459093
42.391, -0.00457972
42.3913, -0.00457972
42.3936, -0.00457972
42.3937, -0.00457972
42.3944, -0.00457972
60.7189, -0.00451475
60.7193, -0.00451475
60.7211, -0.00451475
60.7212, -0.00451475
60.7218, -0.00451475
60.7314, -0.00444978
60.7317, -0.00444978
60.7332, -0.00444978
60.7334, -0.00444978
60.7338, -0.00444978
60.7422, -0.00438848
60.7425, -0.00438848
60.7443, -0.00438848
60.7445, -0.00438848
60.7451, -0.00438848
60.7545, -0.00433075
60.7548, -0.00433075
60.7563, -0.00433075
60.7566, -0.00433075
60.7572, -0.00433075
60.7656, -0.00428134
60.7659, -0.00428134
60.7672, -0.00428134
60.7674, -0.00428134
60.7678, -0.00428134
60.7762, -0.00423408
60.7765, -0.00423408
60.7782, -0.00423408
60.7783, -0.00423408
60.7788, -0.00423408
60.787, -0.00418982
60.7873, -0.00418982
60.7893, -0.00418982
60.7894, -0.00418982
60.7898, -0.00418982
60.7984, -0.00415161
60.7987, -0.00415161
60.8002, -0.00415161
60.8004, -0.00415161
60.8008, -0.00415161
60.8091, -0.00413042
60.8094, -0.00413042
60.8113, -0.00413042
60.8114, -0.00413042
60.8116, -0.00413042
60.812, -0.00413042
60.8199, -0.00411093
60.8203, -0.00411093
60.8224, -0.00411093
60.8227, -0.00411093
60.8232, -0.00411093
60.832, -0.00410068
60.8323, -0.00410068
60.8343, -0.00410068
60.8344, -0.00410068
60.8348, -0.00410068
60.8433, -0.00409102
60.8435, -0.00409102
60.8452, -0.00409102
60.8454, -0.00409102
60.8458, -0.00409102
