Time, Error [mm]
39.3358, -0.00830842
39.3375, -0.00830842
39.3376, -0.00830842
39.3381, -0.00830842
39.3473, -0.00830171
39.3477, -0.00830171
39.3495, -0.00830171
39.3498, -0.00830171
39.3502, -0.00830171
39.3596, -0.00831417
39.36, -0.00831417
39.3615, -0.00831417
39.3616, -0.00831417
39.3621, -0.00831417
39.3721, -0.00834034
39.3724, -0.00834034
39.3744, -0.00834034
39.3746, -0.00834034
39.3751, -0.00834034
39.3857, -0.00835899
39.386, -0.00835899
39.3875, -0.00835899
39.3877, -0.00835899
39.3881, -0.00835899
39.398, -0.00837428
39.3983, -0.00837428
39.4005, -0.00837428
39.4008, -0.00837428
39.4012, -0.00837428
39.4112, -0.00838703
39.4116, -0.00838703
39.4135, -0.00838703
39.4137, -0.00838703
39.4144, -0.00838703
39.4246, -0.00838698
39.4249, -0.00838698
39.4266, -0.00838698
39.4269, -0.00838698
39.4274, -0.00838698
39.4376, -0.00840667
39.4379, -0.00840667
39.4395, -0.00840667
39.4396, -0.00840667
39.4401, -0.00840667
39.4504, -0.00842926
39.4508, -0.00842926
39.4525, -0.00842926
39.4527, -0.00842926
39.4532, -0.00842926
39.4636, -0.0085024
39.464, -0.0085024
39.4656, -0.0085024
39.4657, -0.0085024
39.4661, -0.0085024
39.4761, -0.00860146
39.4765, -0.00860146
39.4786, -0.00860146
39.4788, -0.00860146
39.4794, -0.00860146
57.809, -0.00195178
57.8093, -0.00195178
57.8111, -0.00195178
57.8113, -0.00195178
57.8119, -0.00195178
57.8209, -0.00195631
57.8212, -0.00195631
57.8231, -0.00195631
57.8232, -0.00195631
57.8237, -0.00195631
57.8328, -0.00195935
57.8331, -0.00195935
57.8351, -0.00195935
57.8353, -0.00195935
57.8357, -0.00195935
57.8448, -0.00199243
57.8452, -0.00199243
57.8472, -0.00199243
57.8473, -0.00199243
57.8478, -0.00199243
57.8569, -0.00203583
57.8572, -0.00203583
57.8591, -0.00203583
57.8593, -0.00203583
57.8598, -0.00203583
57.8694, -0.00210193
57.8697, -0.00210193
57.8711, -0.00210193
57.8713, -0.00210193
57.8718, -0.00210193
57.881, -0.00216815
57.8815, -0.00216815
57.8832, -0.00216815
57.8833, -0.00216815
57.8838, -0.00216815
57.8928, -0.00223646
57.8932, -0.00223646
57.8953, -0.00223646
57.8955, -0.00223646
57.896, -0.00223646
57.9057, -0.00229084
57.9061, -0.00229084
57.9082, -0.00229084
57.9083, -0.00229084
57.9088, -0.00229084
57.9189, -0.00233614
57.9192, -0.00233614
57.9212, -0.00233614
57.9213, -0.00233614
57.9218, -0.00233614
57.9307, -0.00238886
57.931, -0.00238886
57.9322, -0.00238886
57.9324, -0.00238886
57.9332, -0.00238886
57.9416, -0.00243196
57.9418, -0.00243196
57.9433, -0.00243196
57.9434, -0.00243196
57.9441, -0.00243196
57.9528, -0.00246879
57.953, -0.00246879
57.9553, -0.00246879
57.9554, -0.00246879
57.956, -0.00246879
71.9146, -0.00647818
71.9149, -0.00647818
71.9166, -0.00647818
71.9168, -0.00647818
71.9172, -0.00647818
71.9264, -0.0064825
71.9267, -0.0064825
71.9287, -0.0064825
71.9289, -0.0064825
71.9294, -0.0064825
71.9386, -0.00649898
71.9389, -0.00649898
71.9406, -0.00649898
71.9408, -0.00649898
71.9412, -0.00649898
71.9502, -0.00651576
71.9506, -0.00651576
71.9527, -0.00651576
71.9528, -0.00651576
71.9532, -0.00651576
71.9623, -0.00652944
71.9627, -0.00652944
71.9647, -0.00652944
71.9648, -0.00652944
71.9652, -0.00652944
71.974, -0.00654455
71.9743, -0.00654455
71.9767, -0.00654455
71.9769, -0.00654455
71.9773, -0.00654455
71.9868, -0.00656144
71.9872, -0.00656144
71.9887, -0.00656144
71.9889, -0.00656144
71.9895, -0.00656144
71.9985, -0.00657476
71.9988, -0.00657476
72.0007, -0.00657476
72.0008, -0.00657476
72.0013, -0.00657476
72.0109, -0.00658158
72.0113, -0.00658158
72.0127, -0.00658158
72.0128, -0.00658158
72.0133, -0.00658158
72.0222, -0.00658841
72.0226, -0.00658841
72.0247, -0.00658841
72.0249, -0.00658841
72.0253, -0.00658841
72.0341, -0.00662632
72.0345, -0.00662632
72.0367, -0.00662632
72.0368, -0.00662632
72.0373, -0.00662632
72.047, -0.00668193
72.0474, -0.00668193
72.0487, -0.00668193
72.0489, -0.00668193
72.0493, -0.00668193
72.0584, -0.00672311
