Time, F.x, F.y, F.z, Key
36.2272, 0, -0, 0, X
36.2275, 0, -0, 0, X
36.2293, 0, -0, 0, X
36.2294, 0, -0, 0, X
36.2299, 0, -0, 0, X
36.2404, 0, -0, 0, X
36.2408, 0, -0, 0, X
36.2424, 0, -0, 0, X
36.2427, 0, -0, 0, X
36.2431, 0, -0, 0, X
36.2539, 0, -0, 0, X
36.2543, 0, -0, 0, X
36.2563, 0, -0, 0, X
36.2565, 0, -0, 0, X
36.2569, 0, -0, 0, X
36.2666, 0, -0, 0, X
36.2669, 0, -0, 0, X
36.2683, 0, -0, 0, X
36.2685, 0, -0, 0, X
36.2691, 0, -0, 0, X
36.2789, 0, -0, 0, X
36.2793, 0, -0, 0, X
36.2813, 0, -0, 0, X
36.2814, 0, -0, 0, X
36.2819, 0, -0, 0, X
36.292, 0, -0, 0, X
36.2923, 0, -0, 0, X
36.2944, 0, -0, 0, X
36.2945, 0, -0, 0, X
36.295, 0, -0, 0, X
36.305, 0, -0, 0, X
36.3053, 0, -0, 0, X
36.3073, 0, -0, 0, X
36.3075, 0, -0, 0, X
36.308, 0, -0, 0, X
36.3176, 0, -0, 0, X
36.3179, 0, -0, 0, X
36.3194, 0, -0, 0, X
36.3196, 0, -0, 0, X
36.3201, 0, -0, 0, X
36.3299, 0, -0, 0, X
36.3302, 0, -0, 0, X
36.3327, 0, -0, 0, X
36.3329, 0, -0, 0, X
36.3337, 0, -0, 0, X
36.3446, 0, -0, 0, X
36.3449, 0, -0, 0, X
36.3465, 0, -0, 0, X
36.3466, 0, -0, 0, X
36.3471, 0, -0, 0, X
36.3573, 0, -0, 0, X
36.3576, 0, -0, 0, X
36.3595, 0, -0, 0, X
36.3596, 0, -0, 0, X
36.36, 0, -0, 0, X
36.3696, 0, -0, 0, X
36.3698, 0, -0, 0, X
36.3715, 0, -0, 0, X
36.3717, 0, -0, 0, X
36.3721, 0, -0, 0, X
36.3816, 0, -0, 0, X
36.382, 0, -0, 0, X
36.3835, 0, -0, 0, X
36.3837, 0, -0, 0, X
36.3841, 0, -0, 0, X
36.3959, 0, -0, 0, X
36.3962, 0, -0, 0, X
36.3985, 0, -0, 0, X
36.3986, 0, -0, 0, X
36.3991, 0, -0, 0, X
36.4088, 0, -0, 0, X
