Time, Error [mm]
32.7858, -0.00574614
32.786, -0.00574614
32.7877, -0.00574614
32.7878, -0.00574614
32.7884, -0.00574614
32.7986, -0.00572049
32.7988, -0.00572049
32.8007, -0.00572049
32.8009, -0.00572049
32.8014, -0.00572049
32.8111, -0.0056951
32.8115, -0.0056951
32.8137, -0.0056951
32.8139, -0.0056951
32.8141, -0.0056951
32.8147, -0.0056951
32.8248, -0.00566882
32.8252, -0.00566882
32.8267, -0.00566882
32.8269, -0.00566882
32.8273, -0.00566882
32.8375, -0.0056435
32.8379, -0.0056435
32.8397, -0.0056435
32.8399, -0.0056435
32.8403, -0.0056435
32.8503, -0.00561936
32.8507, -0.00561936
32.8527, -0.00561936
32.8529, -0.00561936
32.8534, -0.00561936
32.8632, -0.00559698
32.8635, -0.00559698
32.8658, -0.00559698
32.8659, -0.00559698
32.8664, -0.00559698
32.8765, -0.00557475
32.8768, -0.00557475
32.8787, -0.00557475
32.8789, -0.00557475
32.8794, -0.00557475
32.8895, -0.00555413
32.8899, -0.00555413
32.8917, -0.00555413
32.8919, -0.00555413
32.8923, -0.00555413
32.9025, -0.00553431
32.9029, -0.00553431
32.9048, -0.00553431
32.905, -0.00553431
32.9055, -0.00553431
32.9158, -0.00551607
32.9161, -0.00551607
32.9178, -0.00551607
32.9179, -0.00551607
32.9185, -0.00551607
32.9286, -0.00549909
32.9289, -0.00549909
32.9308, -0.00549909
32.9309, -0.00549909
32.9313, -0.00549909
32.9415, -0.00548323
32.9419, -0.00548323
32.9438, -0.00548323
32.944, -0.00548323
32.9444, -0.00548323
32.9559, -0.0054694
32.9563, -0.0054694
32.9578, -0.0054694
32.9579, -0.0054694
32.9584, -0.0054694
43.6012, -0.00662076
43.6015, -0.00662076
43.6031, -0.00662076
43.6033, -0.00662076
43.6037, -0.00662076
43.6113, -0.00661382
43.6116, -0.00661382
43.6131, -0.00661382
43.6132, -0.00661382
43.6137, -0.00661382
43.6212, -0.00660707
43.6215, -0.00660707
43.6232, -0.00660707
43.6234, -0.00660707
43.6238, -0.00660707
43.6314, -0.00659794
43.6317, -0.00659794
43.6332, -0.00659794
43.6334, -0.00659794
43.634, -0.00659794
43.6415, -0.00658765
43.6418, -0.00658765
43.6432, -0.00658765
43.6434, -0.00658765
43.6438, -0.00658765
43.6512, -0.00657614
43.6516, -0.00657614
43.6533, -0.00657614
43.6534, -0.00657614
43.654, -0.00657614
43.6619, -0.00656407
43.6622, -0.00656407
43.6642, -0.00656407
43.6644, -0.00656407
43.6648, -0.00656407
43.673, -0.00655323
43.6734, -0.00655323
43.6752, -0.00655323
43.6755, -0.00655323
43.676, -0.00655323
43.6834, -0.00654137
43.6837, -0.00654137
43.6852, -0.00654137
43.6854, -0.00654137
43.6859, -0.00654137
43.6941, -0.00654781
43.6944, -0.00654781
43.6963, -0.00654781
43.6965, -0.00654781
43.6969, -0.00654781
43.7058, -0.00654629
43.7062, -0.00654629
43.7081, -0.00654629
43.7083, -0.00654629
43.7087, -0.00654629
43.7173, -0.00656101
43.7177, -0.00656101
43.7193, -0.00656101
43.7194, -0.00656101
43.7198, -0.00656101
43.7282, -0.00656882
43.7285, -0.00656882
43.7302, -0.00656882
43.7305, -0.00656882
43.7309, -0.00656882
48.9888, -0.00371378
48.9892, -0.00371378
48.9907, -0.00371378
48.9911, -0.00371378
48.9915, -0.00371378
48.9999, -0.00372025
49.0002, -0.00372025
49.0018, -0.00372025
49.002, -0.00372025
49.0025, -0.00372025
49.0104, -0.00372545
49.0108, -0.00372545
49.0128, -0.00372545
49.0131, -0.00372545
49.0132, -0.00372545
49.0137, -0.00372545
49.0215, -0.0037268
49.0218, -0.0037268
49.0238, -0.0037268
49.0241, -0.0037268
49.0245, -0.0037268
49.0325, -0.00372761
49.0329, -0.00372761
49.0349, -0.00372761
49.0352, -0.00372761
49.0356, -0.00372761
49.0432, -0.00372609
49.0436, -0.00372609
49.0459, -0.00372609
49.046, -0.00372609
49.0465, -0.00372609
49.0535, -0.00372244
49.0538, -0.00372244
49.0558, -0.00372244
49.056, -0.00372244
49.0564, -0.00372244
49.0637, -0.00371592
49.064, -0.00371592
49.0658, -0.00371592
49.066, -0.00371592
49.0665, -0.00371592
49.0737, -0.00370886
49.0741, -0.00370886
49.0758, -0.00370886
49.076, -0.00370886
49.0765, -0.00370886
49.0835, -0.00370106
49.0838, -0.00370106
49.0859, -0.00370106
49.0862, -0.00370106
49.0866, -0.00370106
49.0942, -0.00369275
49.0945, -0.00369275
49.0959, -0.00369275
49.0961, -0.00369275
49.0965, -0.00369275
49.1036, -0.00368226
49.1039, -0.00368226
49.1058, -0.00368226
49.106, -0.00368226
49.1067, -0.00368226
49.1139, -0.00367232
49.1141, -0.00367232
