Time, Error [mm]
34.8888, -0.0118193
34.8891, -0.0118193
34.8914, -0.0118193
34.8915, -0.0118193
34.8921, -0.0118193
34.9004, -0.0117888
34.9007, -0.0117888
34.9023, -0.0117888
34.9025, -0.0117888
34.9029, -0.0117888
34.9113, -0.0117451
34.9116, -0.0117451
34.9133, -0.0117451
34.9135, -0.0117451
34.9142, -0.0117451
34.9222, -0.0116886
34.9225, -0.0116886
34.9243, -0.0116886
34.9245, -0.0116886
34.925, -0.0116886
34.9337, -0.011622
34.934, -0.011622
34.9355, -0.011622
34.9356, -0.011622
34.9362, -0.011622
34.9441, -0.0115513
34.9445, -0.0115513
34.9463, -0.0115513
34.9465, -0.0115513
34.947, -0.0115513
34.955, -0.0114741
34.9554, -0.0114741
34.9575, -0.0114741
34.9577, -0.0114741
34.9578, -0.0114741
34.9584, -0.0114741
34.967, -0.011389
34.9674, -0.011389
34.9694, -0.011389
34.9696, -0.011389
34.9701, -0.011389
34.9784, -0.011304
34.9787, -0.011304
34.9803, -0.011304
34.9805, -0.011304
34.981, -0.011304
34.989, -0.011219
34.9894, -0.011219
34.9914, -0.011219
34.9915, -0.011219
34.992, -0.011219
35.0005, -0.0111349
35.0008, -0.0111349
35.0024, -0.0111349
35.0025, -0.0111349
35.0031, -0.0111349
45.3669, -0.00951353
45.3672, -0.00951353
45.3692, -0.00951353
45.3694, -0.00951353
45.3699, -0.00951353
45.3772, -0.00949374
45.3775, -0.00949374
45.3793, -0.00949374
45.3794, -0.00949374
45.3799, -0.00949374
45.3875, -0.0094777
45.3878, -0.0094777
45.3894, -0.0094777
45.3895, -0.0094777
45.39, -0.0094777
45.3972, -0.00946264
45.3976, -0.00946264
45.3993, -0.00946264
45.3994, -0.00946264
45.4001, -0.00946264
45.4077, -0.00945073
45.408, -0.00945073
45.4093, -0.00945073
45.4094, -0.00945073
45.4099, -0.00945073
45.4177, -0.00943913
45.4181, -0.00943913
45.4203, -0.00943913
45.4204, -0.00943913
45.421, -0.00943913
45.4288, -0.0094286
45.4291, -0.0094286
45.4313, -0.0094286
45.4314, -0.0094286
45.4319, -0.0094286
45.4394, -0.00941974
45.4397, -0.00941974
45.4413, -0.00941974
45.4415, -0.00941974
45.442, -0.00941974
45.4494, -0.00941204
45.4498, -0.00941204
45.4513, -0.00941204
45.4515, -0.00941204
45.4521, -0.00941204
