Time, F.x, F.y, F.z, Key
31.584, 0, 0, 0, X
31.5843, 0, 0, 0, X
31.5859, 0, 0, 0, X
31.5862, 0, 0, 0, X
31.5867, 0, 0, 0, X
31.5869, 0, 0, 0, X
31.5874, 0, 0, 0, X
31.5981, 0, 0, 0, X
31.5985, 0, 0, 0, X
31.5999, 0, 0, 0, X
31.6001, 0, 0, 0, X
31.6005, 0, 0, 0, X
31.6113, 0, 0, 0, X
31.6115, 0, 0, 0, X
31.6129, 0, 0, 0, X
31.613, 0, 0, 0, X
31.6134, 0, 0, 0, X
31.6245, 0, 0, 0, X
31.6248, 0, 0, 0, X
31.6269, 0, 0, 0, X
31.6271, 0, 0, 0, X
31.6276, 0, 0, 0, X
31.6394, 0, 0, 0, X
31.6396, 0, 0, 0, X
31.6409, 0, 0, 0, X
31.6411, 0, 0, 0, X
31.6415, 0, 0, 0, X
31.653, 0, 0, 0, X
31.6533, 0, 0, 0, X
31.655, 0, 0, 0, X
31.6552, 0, 0, 0, X
31.6557, 0, 0, 0, X
31.6664, 0, 0, 0, X
31.6667, 0, 0, 0, X
31.668, 0, 0, 0, X
31.6681, 0, 0, 0, X
31.6685, 0, 0, 0, X
31.6797, 0, 0, 0, X
31.68, 0, 0, 0, X
31.682, 0, 0, 0, X
31.6821, 0, 0, 0, X
31.6826, 0, 0, 0, X
31.6935, 0, 0, 0, X
31.6939, 0, 0, 0, X
31.696, 0, 0, 0, X
31.6961, 0, 0, 0, X
31.6965, 0, 0, 0, X
31.7072, 0, 0, 0, X
31.7075, 0, 0, 0, X
31.709, 0, 0, 0, X
31.7091, 0, 0, 0, X
31.7095, 0, 0, 0, X
31.7211, 0, 0, 0, X
31.7214, 0, 0, 0, X
31.723, 0, 0, 0, X
31.7231, 0, 0, 0, X
31.7236, 0, 0, 0, X
31.7339, 0, 0, 0, X
31.7342, 0, 0, 0, X
31.7361, 0, 0, 0, X
31.7363, 0, 0, 0, X
31.7368, 0, 0, 0, X
31.7484, 0, 0, 0, X
31.7487, 0, 0, 0, X
31.7501, 0, 0, 0, X
31.7502, 0, 0, 0, X
31.7507, 0, 0, 0, X
31.7626, 0, 0, 0, X
31.7629, 0, 0, 0, X
31.7651, 0, 0, 0, X
31.7653, 0, 0, 0, X
31.7657, 0, 0, 0, X
31.7765, 0, 0, 0, X
31.7767, 0, 0, 0, X
31.7782, 0, 0, 0, X
31.7784, 0, 0, 0, X
31.7788, 0, 0, 0, X
31.7892, 0, 0, 0, X
31.7895, 0, 0, 0, X
31.7911, 0, 0, 0, X
31.7913, 0, 0, 0, X
31.7917, 0, 0, 0, X
31.8017, 0, 0, 0, X
31.802, 0, 0, 0, X
31.8042, 0, 0, 0, X
31.8043, 0, 0, 0, X
31.8048, 0, 0, 0, X
31.815, 0, 0, 0, X
31.8153, 0, 0, 0, X
31.8171, 0, 0, 0, X
31.8173, 0, 0, 0, X
31.8177, 0, 0, 0, X
31.8279, 0, 0, 0, X
31.8281, 0, 0, 0, X
31.8302, 0, 0, 0, X
31.8303, 0, 0, 0, X
31.8307, 0, 0, 0, X
31.8414, 0, 0, 0, X
31.8416, 0, 0, 0, X
31.8432, 0, 0, 0, X
31.8433, 0, 0, 0, X
31.8438, 0, 0, 0, X
31.8552, 0, 0, 0, X
31.8555, 0, 0, 0, X
31.8572, 0, 0, 0, X
31.8573, 0, 0, 0, X
31.8578, 0, 0, 0, X
31.8681, 0, 0, 0, X
31.8684, 0, 0, 0, X
31.8702, 0, 0, 0, X
31.8703, 0, 0, 0, X
31.8708, 0, 0, 0, X
31.8813, 0, 0, 0, X
31.8816, 0, 0, 0, X
31.8832, 0, 0, 0, X
31.8833, 0, 0, 0, X
31.8838, 0, 0, 0, X
31.8947, 0, 0, 0, X
31.895, 0, 0, 0, X
31.8972, 0, 0, 0, X
31.8974, 0, 0, 0, X
31.8976, 0, 0, 0, X
31.8981, 0, 0, 0, X
31.9091, 0, 0, 0, X
31.9094, 0, 0, 0, X
31.9112, 0, 0, 0, X
31.9114, 0, 0, 0, X
31.9118, 0, 0, 0, X
31.9228, 0, 0, 0, X
31.9231, 0, 0, 0, X
31.9252, 0, 0, 0, X
31.9253, 0, 0, 0, X
31.9258, 0, 0, 0, X
31.9367, 0, 0, 0, X
31.937, 0, 0, 0, X
31.9393, 0, 0, 0, X
31.9395, 0, 0, 0, X
31.94, 0, 0, 0, X
31.9512, 0, 0, 0, X
31.9515, 0, 0, 0, X
31.9533, 0, 0, 0, X
31.9534, 0, 0, 0, X
31.9539, 0, 0, 0, X
31.9651, 0, 0, 0, X
31.9656, 0, 0, 0, X
31.9672, 0, 0, 0, X
31.9674, 0, 0, 0, X
31.9678, 0, 0, 0, X
31.9788, 0, 0, 0, X
31.9791, 0, 0, 0, X
31.9812, 0, 0, 0, X
31.9815, 0, 0, 0, X
31.982, 0, 0, 0, X
31.9929, 0, 0, 0, X
31.9932, 0, 0, 0, X
31.9953, 0, 0, 0, X
31.9954, 0, 0, 0, X
31.9958, 0, 0, 0, X
32.0067, 0, 0, 0, X
32.007, 0, 0, 0, X
32.0093, 0, 0, 0, X
32.0094, 0, 0, 0, X
32.0099, 0, 0, 0, X
32.0206, 0, 0, 0, X
32.0209, 0, 0, 0, X
32.0223, 0, 0, 0, X
32.0224, 0, 0, 0, X
32.0229, 0, 0, 0, X
32.0336, 0, 0, 0, X
32.0339, 0, 0, 0, X
32.0352, 0, 0, 0, X
32.0355, 0, 0, 0, X
32.036, 0, 0, 0, X
32.0473, 0.00137097, 0.000344404, 0.0139656, X
32.0477, 0.00137097, 0.000344404, 0.0139656, X
32.0493, 0.00138882, 0.000344041, 0.0139638, X
32.0495, 0.00138882, 0.000344041, 0.0139638, X
32.0499, 0.00138882, 0.000344041, 0.0139638, X
32.0614, 0.00146136, 0.000370715, 0.015021, X
32.0617, 0.00146136, 0.000370715, 0.015021, X
32.0633, 0.00148057, 0.000370325, 0.0150191, X
32.0635, 0.00148057, 0.000370325, 0.0150191, X
32.064, 0.00148668, 0.000370249, 0.0150185, X
32.0756, 0.00163073, 0.000411872, 0.0166913, X
32.0759, 0.00163073, 0.000411872, 0.0166913, X
32.0773, 0.00163753, 0.000411788, 0.0166906, X
32.0775, 0.00163753, 0.000411788, 0.0166906, X
32.0781, 0.00163753, 0.000411788, 0.0166906, X
32.0892, 0.00183774, 0.000460128, 0.018653, X
32.0895, 0.00183774, 0.000460128, 0.018653, X
32.0913, 0.00183774, 0.000460128, 0.018653, X
32.0916, 0.00183774, 0.000460128, 0.018653, X
32.092, 0.00183774, 0.000460128, 0.018653, X
32.1028, 0.00206333, 0.000512164, 0.0207693, X
32.1032, 0.00206333, 0.000512164, 0.0207693, X
32.1054, 0.00206333, 0.000512164, 0.0207693, X
32.1055, 0.00206333, 0.000512164, 0.0207693, X
32.1059, 0.00206333, 0.000512164, 0.0207693, X
32.1168, 0.00233448, 0.000576984, 0.0234017, X
32.1171, 0.00234401, 0.000576867, 0.0234008, X
32.1183, 0.00234401, 0.000576867, 0.0234008, X
32.1186, 0.00234401, 0.000576867, 0.0234008, X
32.1191, 0.00234401, 0.000576867, 0.0234008, X
32.13, 0.0026718, 0.000651965, 0.0264558, X
32.1303, 0.0026718, 0.000651965, 0.0264558, X
32.1324, 0.0026718, 0.000651965, 0.0264558, X
32.1325, 0.0026718, 0.000651965, 0.0264558, X
32.1329, 0.0026718, 0.000651965, 0.0264558, X
32.1444, 0.00304156, 0.000735949, 0.0298735, X
32.1447, 0.00304156, 0.000735949, 0.0298735, X
