Time, F.x, F.y, F.z, Key
37.9483, 0, -0, 0, X
37.9487, 0, -0, 0, X
37.9508, 0, -0, 0, X
37.9509, 0, -0, 0, X
37.9514, 0, -0, 0, X
37.9603, 0, -0, 0, X
37.9608, 0, -0, 0, X
37.9628, 0, -0, 0, X
37.963, 0, -0, 0, X
37.9637, 0, -0, 0, X
37.9727, 0, -0, 0, X
37.9731, 0, -0, 0, X
37.9748, 0, -0, 0, X
37.9751, 0, -0, 0, X
37.9756, 0, -0, 0, X
37.9846, 0, -0, 0, X
37.985, 0, -0, 0, X
37.9868, 0, -0, 0, X
37.987, 0, -0, 0, X
37.9874, 0, -0, 0, X
37.9959, 0, -0, 0, X
37.9963, 0, -0, 0, X
37.9977, 0, -0, 0, X
37.9979, 0, -0, 0, X
37.9984, 0, -0, 0, X
38.0071, 0, -0, 0, X
38.0074, 0, -0, 0, X
38.0088, 0, -0, 0, X
38.009, 0, -0, 0, X
38.0095, 0, -0, 0, X
38.0176, 0, -0, 0, X
38.0179, 0, -0, 0, X
38.0197, 0, -0, 0, X
38.0199, 0, -0, 0, X
38.0205, 0, -0, 0, X
38.03, 0, -0, 0, X
38.0304, 0, -0, 0, X
38.0318, 0, -0, 0, X
38.0321, 0, -0, 0, X
38.0326, 0, -0, 0, X
38.0423, 0, -0, 0, X
38.0427, 0, -0, 0, X
38.0448, 0, -0, 0, X
38.045, 0, -0, 0, X
38.0455, 0, -0, 0, X
38.0538, 0, -0, 0, X
38.0542, 0, -0, 0, X
38.0559, 0, -0, 0, X
38.056, 0, -0, 0, X
38.0565, 0, -0, 0, X
38.0646, 0, -0, 0, X
38.0649, 0, -0, 0, X
38.0668, 0, -0, 0, X
38.067, 0, -0, 0, X
38.0675, 0, -0, 0, X
38.0762, 0, -0, 0, X
38.0767, 0, -0, 0, X
38.0789, 0, -0, 0, X
38.0791, 0, -0, 0, X
38.0796, 0, -0, 0, X
38.088, 0, -0, 0, X
38.0884, 0, -0, 0, X
38.0899, 0, -0, 0, X
38.0902, 0, -0, 0, X
38.0908, 0, -0, 0, X
38.091, 0, -0, 0, X
38.0915, 0, -0, 0, X
38.0996, 0, -0, 0, X
38.0999, 0, -0, 0, X
38.1018, 0, -0, 0, X
38.102, 0, -0, 0, X
38.1024, 0, -0, 0, X
38.1112, 0, -0, 0, X
38.1115, 0, -0, 0, X
38.1138, 0, -0, 0, X
38.1141, 0, -0, 0, X
38.1146, 0, -0, 0, X
38.1228, 0, -0, 0, X
38.1231, 0, -0, 0, X
38.1248, 0, -0, 0, X
38.125, 0, -0, 0, X
38.1255, 0, -0, 0, X
38.1343, 0, -0, 0, X
38.1347, 0, -0, 0, X
38.1368, 0, -0, 0, X
38.137, 0, -0, 0, X
38.1376, 0, -0, 0, X
38.1468, 0, -0, 0, X
38.1472, 0, -0, 0, X
38.149, 0, -0, 0, X
38.1491, 0, -0, 0, X
38.1497, 0, -0, 0, X
38.16, 0, -0, 0, X
38.1604, 0, -0, 0, X
38.1619, 0, -0, 0, X
38.1621, 0, -0, 0, X
38.1627, 0, -0, 0, X
38.1713, 0, -0, 0, X
38.1719, 0, -0, 0, X
38.1739, 0, -0, 0, X
38.174, 0, -0, 0, X
38.1746, 0, -0, 0, X
38.1831, 0, -0, 0, X
38.1834, 0, -0, 0, X
38.1848, 0, -0, 0, X
38.185, 0, -0, 0, X
38.1856, 0, -0, 0, X
38.1939, 0, -0, 0, X
38.1942, 0, -0, 0, X
38.1959, 0, -0, 0, X
38.1961, 0, -0, 0, X
38.1965, 0, -0, 0, X
38.2046, 0, -0, 0, X
38.205, 0, -0, 0, X
38.2068, 0, -0, 0, X
38.207, 0, -0, 0, X
38.2076, 0, -0, 0, X
38.2156, 0, -0, 0, X
38.2159, 0, -0, 0, X
38.218, 0, -0, 0, X
38.2181, 0, -0, 0, X
38.2185, 0, -0, 0, X
38.2267, 0, -0, 0, X
38.227, 0, -0, 0, X
38.2289, 0, -0, 0, X
38.2291, 0, -0, 0, X
38.2296, 0, -0, 0, X
38.2384, 0, -0, 0, X
38.2387, 0, -0, 0, X
38.241, 0, -0, 0, X
38.2412, 0, -0, 0, X
38.2417, 0, -0, 0, X
38.2502, 0, -0, 0, X
38.2505, 0, -0, 0, X
38.2519, 0, -0, 0, X
38.2521, 0, -0, 0, X
38.2525, 0, -0, 0, X
38.2618, 0, -0, 0, X
38.2622, 0, -0, 0, X
38.2639, 0, -0, 0, X
38.2641, 0, -0, 0, X
38.2646, 0, -0, 0, X
38.2728, 0, -0, 0, X
38.2732, 0, -0, 0, X
38.2749, 0, -0, 0, X
38.2751, 0, -0, 0, X
38.2756, 0, -0, 0, X
38.284, 0, -0, 0, X
38.2843, 0, -0, 0, X
38.2859, 0, -0, 0, X
38.286, 0, -0, 0, X
38.2864, 0, -0, 0, X
38.2948, 0, -0, 0, X
38.295, 0, -0, 0, X
38.2969, 0, -0, 0, X
38.2971, 0, -0, 0, X
38.2975, 0, -0, 0, X
38.306, 0, -0, 0, X
38.3063, 0, -0, 0, X
38.308, 0, -0, 0, X
38.3082, 0, -0, 0, X
38.3086, 0, -0, 0, X
38.317, 0, -0, 0, X
38.3173, 0, -0, 0, X
38.3189, 0, -0, 0, X
38.3192, 0, -0, 0, X
38.3196, 0, -0, 0, X
38.3286, 0, -0, 0, X
38.3289, 0, -0, 0, X
38.3309, 0, -0, 0, X
38.3311, 0, -0, 0, X
38.3316, 0, -0, 0, X
38.3414, 0, -0, 0, X
38.3417, 0, -0, 0, X
38.3439, 0, -0, 0, X
38.3441, 0, -0, 0, X
38.3446, 0, -0, 0, X
38.3538, 0, -0, 0, X
38.3542, 0, -0, 0, X
38.356, 0, -0, 0, X
38.3562, 0, -0, 0, X
38.3567, 0, -0, 0, X
38.3649, 0, -0, 0, X
38.3652, 0, -0, 0, X
38.3669, 0, -0, 0, X
38.3672, 0, -0, 0, X
38.3676, 0, -0, 0, X
38.3771, 0, -0, 0, X
38.3774, 0, -0, 0, X
38.3789, 0, -0, 0, X
