Time, Error [mm]
23.2792, -0.00627375
23.2796, -0.00627375
23.2813, -0.00627375
23.2815, -0.00627375
23.2819, -0.00627375
23.2913, -0.00621298
23.2916, -0.00621298
23.2933, -0.00621298
23.2935, -0.00621298
23.2939, -0.00621298
23.3022, -0.00616124
23.3026, -0.00616124
23.3042, -0.00616124
23.3044, -0.00616124
23.305, -0.00616124
23.3131, -0.00611892
23.3134, -0.00611892
23.3154, -0.00611892
23.3156, -0.00611892
23.3162, -0.00611892
23.3245, -0.00607371
23.3248, -0.00607371
23.3263, -0.00607371
23.3265, -0.00607371
23.3269, -0.00607371
23.3352, -0.00602287
23.3355, -0.00602287
23.3373, -0.00602287
23.3375, -0.00602287
23.3381, -0.00602287
23.3479, -0.00598437
23.3482, -0.00598437
23.3503, -0.00598437
23.3506, -0.00598437
23.3511, -0.00598437
23.3593, -0.00593826
23.3597, -0.00593826
23.3614, -0.00593826
23.3617, -0.00593826
23.3622, -0.00593826
23.3707, -0.00588811
23.3711, -0.00588811
23.3734, -0.00588811
23.3736, -0.00588811
23.374, -0.00588811
23.3827, -0.00585365
23.3831, -0.00585365
23.3854, -0.00585365
23.3855, -0.00585365
23.3859, -0.00585365
23.3944, -0.00581268
23.3948, -0.00581268
23.3964, -0.00581268
23.3966, -0.00581268
23.3972, -0.00581268
23.4053, -0.00576937
23.4056, -0.00576937
23.4073, -0.00576937
23.4075, -0.00576937
23.4082, -0.00576937
23.4166, -0.0057399
23.4169, -0.0057399
23.4184, -0.0057399
23.4186, -0.0057399
23.4192, -0.0057399
35.3151, -0.00766966
35.3154, -0.00766966
35.3171, -0.00766966
35.3174, -0.00766966
35.3178, -0.00766966
35.3253, -0.0076471
35.3256, -0.0076471
35.3272, -0.0076471
35.3273, -0.0076471
35.3277, -0.0076471
35.3355, -0.00763179
35.3359, -0.00763179
35.3382, -0.00763179
35.3383, -0.00763179
35.3388, -0.00763179
35.3462, -0.00761092
35.3464, -0.00761092
35.3482, -0.00761092
35.3483, -0.00761092
35.3488, -0.00761092
35.3567, -0.00761119
35.3571, -0.00761119
35.3592, -0.00761119
35.3593, -0.00761119
35.3598, -0.00761119
35.3678, -0.00762568
35.3682, -0.00762568
35.3701, -0.00762568
35.3703, -0.00762568
35.3707, -0.00762568
35.3789, -0.00766347
35.3792, -0.00766347
35.3812, -0.00766347
35.3813, -0.00766347
35.3818, -0.00766347
35.3899, -0.00770739
35.3902, -0.00770739
35.3922, -0.00770739
35.3923, -0.00770739
35.3928, -0.00770739
35.4009, -0.00778375
35.4014, -0.00778375
35.4032, -0.00778375
35.4033, -0.00778375
35.4038, -0.00778375
35.4118, -0.00787107
35.4122, -0.00787107
35.4143, -0.00787107
35.4145, -0.00787107
35.4146, -0.00787107
35.4151, -0.00787107
35.4236, -0.00796989
35.424, -0.00796989
35.4263, -0.00796989
