Time, Error [mm]
25.1714, 0.00190006
25.1715, 0.00190006
25.172, 0.00190006
25.1825, 0.00175581
25.1831, 0.00175581
25.2075, 0.00175581
25.2077, 0.00175581
25.2083, 0.00175581
25.2193, 0.00164406
25.2199, 0.00164406
25.2465, 0.00164406
25.2468, 0.00164406
25.2475, 0.00164406
25.2575, 0.00156163
25.2581, 0.00156163
30.3809, -0.0325253
30.3811, -0.0325253
30.3812, -0.0325253
30.3818, -0.0325253
30.3903, -0.0323667
30.3908, -0.0323667
30.4148, -0.0323667
30.4149, -0.0323667
30.4155, -0.0323667
30.4237, -0.0322096
30.4242, -0.0322096
30.4478, -0.0322096
30.448, -0.0322096
30.4485, -0.0322096
30.4571, -0.0320497
30.4578, -0.0320497
30.4818, -0.0320497
30.482, -0.0320497
30.4829, -0.0320497
30.4906, -0.0206811
30.491, -0.0206811
39.1317, -0.0377284
39.132, -0.0377284
39.1325, -0.0377284
39.1414, -0.0379185
39.142, -0.0379185
39.1668, -0.0379185
39.167, -0.0379185
39.1676, -0.0379185
39.1777, -0.0381027
39.1784, -0.0381027
39.2038, -0.0381027
39.2039, -0.0381027
39.2044, -0.0381027
39.2135, -0.0383019
39.2141, -0.0383019
39.2397, -0.0383019
39.2398, -0.0383019
39.2403, -0.0383019
49.3666, -0.0415954
49.3667, -0.0415954
49.3675, -0.0415954
49.3746, -0.0415928
49.3752, -0.0415928
49.3995, -0.0415928
49.3998, -0.0415928
49.4006, -0.0415928
49.408, -0.0415822
49.4086, -0.0415822
49.4317, -0.0415822
49.4319, -0.0415822
49.4321, -0.0415822
49.4329, -0.0415822
49.4405, -0.0415659
49.441, -0.0415659
49.4647, -0.0415659
49.4649, -0.0415659
49.4656, -0.0415659
49.4729, -0.0415438
49.4735, -0.0415438
49.4976, -0.0415438
49.4978, -0.0415438
49.4985, -0.0415438
49.5059, -0.0415189
49.5064, -0.0415189
