Time, F.x, F.y, F.z, Key
24.802, 0, -0, 0, X
24.8023, 0, -0, 0, X
24.8283, 0, -0, 0, X
24.8286, 0, -0, 0, X
24.8297, 0, -0, 0, X
24.8299, 0, -0, 0, X
24.8303, 0, -0, 0, X
24.8419, 0, -0, 0, X
24.8425, 0, -0, 0, X
24.8682, 0, -0, 0, X
24.8684, 0, -0, 0, X
24.869, 0, -0, 0, X
24.8787, 0, -0, 0, X
24.8792, 0, -0, 0, X
24.9052, 0, -0, 0, X
24.9054, 0, -0, 0, X
24.906, 0, -0, 0, X
24.9164, 0, -0, 0, X
24.9169, 0, -0, 0, X
24.9428, 0, -0, 0, X
24.9431, 0, -0, 0, X
24.9441, 0, -0, 0, X
24.9556, 0, -0, 0, X
24.9562, 0, -0, 0, X
24.9823, 0, -0, 0, X
24.9825, 0, -0, 0, X
24.9831, 0, -0, 0, X
24.9932, 0, -0, 0, X
24.9938, 0, -0, 0, X
25.0192, 0, -0, 0, X
25.0194, 0, -0, 0, X
25.0199, 0, -0, 0, X
25.0296, 0, -0, 0, X
25.0303, 0, -0, 0, X
25.0566, 0, -0, 0, X
25.0569, 0, -0, 0, X
25.0577, 0, -0, 0, X
25.0684, 0, -0, 0, X
25.069, 0, -0, 0, X
25.0953, 0, -0, 0, X
25.0955, 0, -0, 0, X
25.096, 0, -0, 0, X
25.1069, 0, -0, 0, X
25.1075, 0, -0, 0, X
25.1334, 0, -0, 0, X
25.1338, 0, -0, 0, X
25.134, 0, -0, 0, X
25.1346, 0, -0, 0, X
25.1447, 0, -0, 0, X
25.1452, 0, -0, 0, X
25.1714, 0, -0, 0, A
25.1715, 0, -0, 0, A
25.172, 0, -0, 0, A
25.1825, 0, -0, 0, A
25.1831, 0, -0, 0, A
25.2075, 0, -0, 0, A
25.2077, 0, -0, 0, A
25.2083, 0, -0, 0, A
25.2193, 0, -0, 0, A
25.2199, 0, -0, 0, A
25.2465, 0, -0, 0, A
25.2468, 0, -0, 0, A
25.2475, 0, -0, 0, A
25.2575, 0, -0, 0, A
25.2581, 0, -0, 0, A
25.2844, 0, -0, 0, X
25.2846, 0, -0, 0, X
25.2851, 0, -0, 0, X
25.2953, 0, -0, 0, X
25.2958, 0, -0, 0, X
25.3224, 0, -0, 0, X
25.3226, 0, -0, 0, X
25.3232, 0, -0, 0, X
25.3337, 0, -0, 0, X
25.3343, 0, -0, 0, X
25.3585, 0, -0, 0, X
25.3586, 0, -0, 0, X
25.3591, 0, -0, 0, X
25.3695, 0, -0, 0, X
25.3699, 0, -0, 0, X
25.3941, 0, -0, 0, X
25.3942, 0, -0, 0, X
25.3947, 0, -0, 0, X
25.4045, 0, -0, 0, X
25.4049, 0, -0, 0, X
25.4286, 0, -0, 0, X
25.4288, 0, -0, 0, X
25.4293, 0, -0, 0, X
25.4395, 0, -0, 0, X
25.44, 0, -0, 0, X
25.4657, 0, -0, 0, X
25.4659, 0, -0, 0, X
25.466, 0, -0, 0, X
25.4666, 0, -0, 0, X
25.4765, 0, -0, 0, X
25.477, 0, -0, 0, X
25.5016, 0, -0, 0, X
25.5017, 0, -0, 0, X
25.5024, 0, -0, 0, X
25.5133, 0, -0, 0, X
25.5136, 0, -0, 0, X
25.5398, 0, -0, 0, X
25.54, 0, -0, 0, X
