Time, Error [mm]
29.0645, -0.00879231
29.0652, -0.00879231
29.089, -0.00879231
29.0892, -0.00879231
29.0894, -0.00879231
29.0899, -0.00879231
29.1003, -0.0093931
29.1011, -0.0093931
29.125, -0.0093931
29.1252, -0.0093931
29.1257, -0.0093931
29.1362, -0.00999977
29.1371, -0.00999977
42.8394, -0.0158662
42.8398, -0.0158662
42.8642, -0.0158662
42.8644, -0.0158662
42.8649, -0.0158662
42.8741, -0.017336
42.8746, -0.017336
42.9003, -0.017336
42.9005, -0.017336
42.9013, -0.017336
42.9104, -0.0188223
42.911, -0.0188223
42.9353, -0.0188223
42.9355, -0.0188223
42.936, -0.0188223
42.945, -0.0202781
42.9454, -0.0202781
