Time, Error [mm]
20.4233, 0.000797477
20.4235, 0.000797477
20.424, 0.000797477
20.4353, 0.00073567
20.4356, 0.00073567
20.4624, 0.00073567
20.4633, 0.00073567
20.4635, 0.00073567
20.464, 0.00073567
20.4754, 0.00066123
20.4757, 0.00066123
20.5015, 0.00066123
20.5016, 0.00066123
20.5023, 0.00066123
20.513, 0.00058974
20.5133, 0.00058974
20.5399, 0.00058974
20.54, 0.00058974
20.5406, 0.00058974
25.0599, -0.0349191
25.0602, -0.0349191
25.0842, -0.0349191
25.0845, -0.0349191
25.0851, -0.0349191
25.0953, -0.0351749
25.0957, -0.0351749
25.1199, -0.0351749
25.1201, -0.0351749
25.1207, -0.0351749
25.1313, -0.0353986
25.1316, -0.0353986
25.1579, -0.0353986
25.158, -0.0353986
25.1587, -0.0353986
25.1694, -0.0355973
25.1698, -0.0355973
25.194, -0.0355973
25.1943, -0.0355973
25.1945, -0.0355973
25.1951, -0.0355973
25.2057, -0.0357744
25.206, -0.0357744
29.897, -0.0381811
29.8972, -0.0381811
29.8978, -0.0381811
29.9076, -0.0384435
29.9079, -0.0384435
29.932, -0.0384435
29.9322, -0.0384435
29.9327, -0.0384435
29.9434, -0.0387228
29.9437, -0.0387228
29.9682, -0.0387228
29.9683, -0.0387228
29.969, -0.0387228
29.9791, -0.0389804
29.9793, -0.0389804
30.0038, -0.0389804
30.004, -0.0389804
30.0046, -0.0389804
34.4176, -0.0412139
34.418, -0.0412139
34.4441, -0.0412139
34.4443, -0.0412139
34.445, -0.0412139
34.4537, -0.041335
34.454, -0.041335
34.4787, -0.041335
34.4789, -0.041335
34.4796, -0.041335
34.4885, -0.0414395
34.4888, -0.0414395
34.5153, -0.0414395
34.5156, -0.0414395
34.5158, -0.0414395
34.5163, -0.0414395
34.5265, -0.0415059
34.5267, -0.0415059
