Time, F.x, F.y, F.z, Key
19.7444, 0, -0, 0, X
19.7447, 0, -0, 0, X
19.771, 0, -0, 0, X
19.7712, 0, -0, 0, X
19.7718, 0, -0, 0, X
19.7834, 0, -0, 0, X
19.7838, 0, -0, 0, X
19.8101, 0, -0, 0, X
19.8102, 0, -0, 0, X
19.8107, 0, -0, 0, X
19.8215, 0, -0, 0, X
19.8217, 0, -0, 0, X
19.8481, 0, -0, 0, X
19.8485, 0, -0, 0, X
19.8492, 0, -0, 0, X
19.8494, 0, -0, 0, X
19.8501, 0, -0, 0, X
19.8615, 0, -0, 0, X
19.8619, 0, -0, 0, X
19.8893, 0, -0, 0, X
19.8894, 0, -0, 0, X
19.89, 0, -0, 0, X
19.9016, 0, -0, 0, X
19.902, 0, -0, 0, X
19.9282, 0, -0, 0, X
19.9284, 0, -0, 0, X
19.9289, 0, -0, 0, X
19.9404, 0, -0, 0, X
19.9407, 0, -0, 0, X
19.9661, 0, -0, 0, X
19.9664, 0, -0, 0, X
19.9672, 0, -0, 0, X
19.978, 0, -0, 0, X
19.9783, 0, -0, 0, X
20.006, 0, -0, 0, X
20.0062, 0, -0, 0, X
20.0069, 0, -0, 0, X
20.0182, 0, -0, 0, X
20.0185, 0, -0, 0, X
20.0441, 0, -0, 0, X
20.0443, 0, -0, 0, X
20.0448, 0, -0, 0, X
20.0555, 0, -0, 0, X
20.0558, 0, -0, 0, X
20.0833, 0, -0, 0, X
20.0835, 0, -0, 0, X
20.084, 0, -0, 0, X
20.0946, 0, -0, 0, X
20.0949, 0, -0, 0, X
20.1212, 0, -0, 0, X
20.1215, 0, -0, 0, X
20.1219, 0, -0, 0, X
20.1327, 0, -0, 0, X
20.133, 0, -0, 0, X
20.1574, 0, -0, 0, X
20.1582, 0, -0, 0, X
20.1584, 0, -0, 0, X
20.1589, 0, -0, 0, X
20.1698, 0, -0, 0, X
20.1702, 0, -0, 0, X
20.1963, 0, -0, 0, X
20.1965, 0, -0, 0, X
20.1972, 0, -0, 0, X
20.2075, 0, -0, 0, X
20.2078, 0, -0, 0, X
20.2343, 0, -0, 0, X
20.2345, 0, -0, 0, X
20.2352, 0, -0, 0, X
20.2462, 0, -0, 0, X
20.2467, 0, -0, 0, X
20.2722, 0, -0, 0, X
20.2724, 0, -0, 0, X
20.2729, 0, -0, 0, X
20.2846, 0, -0, 0, X
20.2849, 0, -0, 0, X
20.3104, 0, -0, 0, X
20.3106, 0, -0, 0, X
20.3112, 0, -0, 0, X
20.3226, 0, -0, 0, X
20.3229, 0, -0, 0, X
20.3485, 0, -0, 0, X
20.3486, 0, -0, 0, X
20.3492, 0, -0, 0, X
20.3595, 0, -0, 0, X
20.3598, 0, -0, 0, X
20.3853, 0, -0, 0, X
20.3855, 0, -0, 0, X
20.3862, 0, -0, 0, X
20.3968, 0, -0, 0, X
20.3971, 0, -0, 0, X
20.4233, 0, -0, 0, A
20.4235, 0, -0, 0, A
20.424, 0, -0, 0, A
20.4353, 0, -0, 0, A
20.4356, 0, -0, 0, A
20.4624, 0, -0, 0, A
20.4633, 0, -0, 0, A
20.4635, 0, -0, 0, A
20.464, 0, -0, 0, A
20.4754, 0, -0, 0, A
20.4757, 0, -0, 0, A
20.5015, 0, -0, 0, A
20.5016, 0, -0, 0, A
20.5023, 0, -0, 0, A
20.513, 0, -0, 0, A
20.5133, 0, -0, 0, A
